BDATE,SALEID,STORE,PRODUCTS_SOLD
2016-10-08,10027,STORE006,PR014:104.67|PR011:117.24|PR017:96.73|PR001:76.64|PR012:73.54|PR003:30.4|PR010:37.6|PR002:61.29|PR003:30.4|PR006:91.17|PR010:37.6|PR011:117.24|PR024:9.54|PR007:29.62|PR018:50.39|PR011:117.24|PR004:85.12
2016-10-08,10028,STORE007,PR015:4.7|PR008:34.25|PR016:8.37|PR013:53.46|PR021:46.69|PR025:41.69|PR020:57.34|PR012:73.54|PR017:96.73
2016-10-08,10029,STORE002,PR009:4.6|PR022:38.99|PR011:117.24|PR023:77.16|PR019:24.12|PR003:30.4|PR003:30.4|PR024:9.54|PR016:8.37|PR016:8.37|PR020:57.34|PR019:24.12|PR006:91.17|PR013:53.46|PR013:53.46|PR020:57.34
2016-10-08,10030,STORE001,PR001:76.64|PR003:30.4|PR009:4.6|PR006:91.17|PR013:53.46|PR006:91.17|PR005:61.71|PR007:29.62|PR020:57.34|PR005:61.71|PR004:85.12
2016-10-08,10031,STORE004,PR025:41.69|PR001:76.64|PR006:91.17|PR014:104.67
2016-10-08,10032,STORE006,PR014:104.67|PR019:24.12|PR007:29.62|PR016:8.37|PR016:8.37|PR014:104.67|PR021:46.69|PR019:24.12|PR012:73.54|PR020:57.34
2016-10-08,10033,STORE006,PR007:29.62|PR022:38.99|PR025:41.69|PR017:96.73|PR019:24.12|PR007:29.62|PR010:37.6|PR017:96.73|PR008:34.25|PR010:37.6|PR008:34.25|PR025:41.69|PR017:96.73|PR012:73.54|PR014:104.67|PR011:117.24|PR008:34.25|PR016:8.37|PR013:53.46
2016-10-08,10034,STORE004,PR023:77.16|PR020:57.34|PR002:61.29|PR017:96.73|PR002:61.29|PR006:91.17|PR001:76.64|PR016:8.37|PR018:50.39|PR017:96.73|PR001:76.64
2016-10-08,10035,STORE002,PR018:50.39|PR021:46.69|PR015:4.7|PR017:96.73|PR008:34.25|PR019:24.12
2016-10-08,10036,STORE005,PR005:61.71|PR023:77.16|PR014:104.67|PR006:91.17|PR015:4.7|PR024:9.54
2016-10-08,10037,STORE003,PR015:4.7|PR014:104.67|PR005:61.71|PR025:41.69|PR010:37.6|PR018:50.39|PR022:38.99|PR021:46.69|PR011:117.24|PR009:4.6|PR022:38.99
2016-10-08,10038,STORE004,PR024:9.54|PR015:4.7|PR012:73.54|PR009:4.6|PR011:117.24|PR025:41.69|PR004:85.12|PR019:24.12|PR025:41.69|PR007:29.62|PR013:53.46
2016-10-08,10039,STORE009,PR023:77.16|PR004:85.12|PR011:117.24
2016-10-08,10040,STORE001,PR025:41.69|PR022:38.99|PR003:30.4|PR023:77.16|PR015:4.7|PR007:29.62|PR007:29.62|PR022:38.99
2016-10-08,10041,STORE008,PR002:61.29|PR020:57.34|PR001:76.64|PR012:73.54|PR018:50.39|PR024:9.54|PR022:38.99|PR020:57.34|PR016:8.37|PR007:29.62|PR003:30.4|PR024:9.54|PR001:76.64
2016-10-08,10042,STORE002,PR016:8.37|PR008:34.25|PR017:96.73|PR014:104.67|PR014:104.67|PR021:46.69|PR001:76.64|PR014:104.67
2016-10-08,10043,STORE008,PR013:53.46|PR007:29.62|PR015:4.7|PR008:34.25|PR013:53.46|PR012:73.54|PR018:50.39|PR008:34.25|PR018:50.39|PR007:29.62|PR024:9.54|PR017:96.73|PR001:76.64|PR005:61.71|PR009:4.6|PR008:34.25|PR012:73.54|PR025:41.69|PR001:76.64|PR024:9.54|PR021:46.69|PR001:76.64|PR001:76.64|PR003:30.4
2016-10-08,10044,STORE001,PR007:29.62
2016-10-08,10045,STORE005,PR014:104.67|PR004:85.12|PR003:30.4|PR021:46.69|PR024:9.54|PR017:96.73|PR012:73.54|PR012:73.54|PR018:50.39|PR009:4.6|PR007:29.62|PR001:76.64
2016-10-08,10046,STORE001,PR015:4.7|PR009:4.6|PR001:76.64|PR025:41.69|PR006:91.17|PR002:61.29|PR020:57.34|PR010:37.6|PR013:53.46|PR015:4.7|PR017:96.73
2016-10-08,10047,STORE001,PR013:53.46|PR005:61.71|PR023:77.16|PR002:61.29|PR011:117.24|PR010:37.6|PR021:46.69|PR008:34.25|PR002:61.29
2016-10-08,10048,STORE001,PR016:8.37|PR023:77.16|PR019:24.12|PR006:91.17|PR017:96.73|PR019:24.12|PR012:73.54|PR001:76.64|PR001:76.64|PR023:77.16
2016-10-08,10049,STORE009,PR016:8.37|PR003:30.4|PR003:30.4|PR015:4.7|PR011:117.24|PR007:29.62
2016-10-08,10050,STORE007,PR023:77.16|PR016:8.37|PR024:9.54|PR022:38.99|PR018:50.39|PR021:46.69|PR021:46.69
2016-10-08,10051,STORE008,PR010:37.6|PR002:61.29|PR022:38.99|PR015:4.7|PR016:8.37|PR001:76.64|PR010:37.6|PR021:46.69|PR007:29.62
2016-10-08,10052,STORE009,PR009:4.6|PR013:53.46|PR017:96.73|PR006:91.17|PR018:50.39
2016-10-08,10053,STORE007,PR024:9.54|PR011:117.24|PR008:34.25|PR024:9.54|PR008:34.25|PR016:8.37|PR013:53.46
2016-10-08,10054,STORE001,PR019:24.12|PR023:77.16|PR022:38.99|PR025:41.69|PR021:46.69|PR002:61.29|PR002:61.29|PR011:117.24|PR023:77.16|PR007:29.62|PR008:34.25|PR007:29.62|PR002:61.29
2016-10-08,10055,STORE003,PR016:8.37|PR020:57.34|PR003:30.4|PR005:61.71|PR016:8.37|PR024:9.54|PR015:4.7|PR006:91.17|PR005:61.71|PR018:50.39|PR005:61.71|PR001:76.64
2016-10-08,10056,STORE009,PR019:24.12|PR017:96.73|PR004:85.12|PR022:38.99|PR015:4.7|PR012:73.54|PR017:96.73|PR021:46.69|PR020:57.34|PR016:8.37
2016-10-08,10057,STORE005,PR001:76.64|PR002:61.29|PR022:38.99|PR009:4.6|PR003:30.4|PR024:9.54
2016-10-08,10058,STORE007,PR020:57.34|PR002:61.29|PR015:4.7|PR014:104.67|PR014:104.67|PR021:46.69|PR018:50.39|PR009:4.6|PR022:38.99
2016-10-08,10059,STORE007,PR010:37.6|PR018:50.39|PR008:34.25|PR025:41.69|PR010:37.6|PR019:24.12|PR003:30.4|PR013:53.46|PR013:53.46|PR001:76.64|PR014:104.67
2016-10-08,10060,STORE001,PR011:117.24|PR018:50.39|PR008:34.25|PR024:9.54|PR006:91.17|PR022:38.99|PR004:85.12|PR003:30.4|PR012:73.54|PR014:104.67|PR006:91.17|PR003:30.4|PR007:29.62
2016-10-08,10061,STORE005,PR014:104.67|PR004:85.12|PR009:4.6|PR008:34.25|PR010:37.6|PR008:34.25|PR024:9.54|PR025:41.69|PR019:24.12
2016-10-08,10062,STORE006,PR014:104.67|PR006:91.17|PR023:77.16|PR004:85.12|PR016:8.37|PR014:104.67|PR008:34.25|PR017:96.73|PR003:30.4|PR024:9.54|PR005:61.71|PR019:24.12
2016-10-08,10063,STORE005,PR007:29.62|PR022:38.99|PR021:46.69|PR016:8.37|PR019:24.12|PR005:61.71
2016-10-08,10064,STORE001,PR013:53.46|PR019:24.12|PR006:91.17|PR025:41.69|PR009:4.6|PR020:57.34|PR002:61.29|PR013:53.46|PR011:117.24|PR008:34.25
2016-10-08,10065,STORE001,PR010:37.6|PR016:8.37|PR021:46.69|PR019:24.12|PR002:61.29|PR006:91.17|PR019:24.12|PR004:85.12|PR016:8.37|PR014:104.67|PR005:61.71|PR017:96.73|PR022:38.99|PR003:30.4
2016-10-08,10066,STORE005,PR003:30.4|PR002:61.29|PR021:46.69|PR017:96.73|PR005:61.71|PR012:73.54|PR012:73.54|PR017:96.73|PR005:61.71|PR002:61.29|PR018:50.39|PR003:30.4|PR014:104.67
2016-10-08,10067,STORE009,PR024:9.54|PR008:34.25|PR018:50.39|PR016:8.37|PR015:4.7|PR010:37.6|PR011:117.24|PR012:73.54|PR017:96.73|PR013:53.46|PR025:41.69|PR006:91.17|PR008:34.25
2016-10-08,10068,STORE001,PR008:34.25|PR010:37.6|PR022:38.99|PR008:34.25
2016-10-08,10069,STORE008,PR010:37.6|PR007:29.62|PR004:85.12|PR023:77.16|PR022:38.99|PR010:37.6
2016-10-08,10070,STORE007,PR006:91.17|PR006:91.17|PR013:53.46|PR019:24.12|PR016:8.37|PR020:57.34|PR002:61.29|PR010:37.6|PR010:37.6|PR018:50.39|PR015:4.7
2016-10-08,10071,STORE002,PR013:53.46|PR010:37.6|PR023:77.16|PR002:61.29|PR010:37.6|PR013:53.46|PR021:46.69
2016-10-08,10072,STORE004,PR001:76.64|PR002:61.29|PR017:96.73|PR007:29.62|PR013:53.46|PR014:104.67|PR001:76.64|PR010:37.6|PR004:85.12|PR008:34.25|PR011:117.24|PR013:53.46
2016-10-08,10073,STORE008,PR014:104.67|PR002:61.29|PR023:77.16|PR003:30.4|PR012:73.54|PR007:29.62|PR010:37.6|PR025:41.69|PR021:46.69|PR008:34.25|PR008:34.25|PR018:50.39
2016-10-08,10074,STORE006,PR015:4.7|PR017:96.73
2016-10-08,10075,STORE005,PR004:85.12|PR004:85.12|PR006:91.17|PR001:76.64|PR007:29.62|PR011:117.24|PR011:117.24
2016-10-08,10076,STORE003,PR017:96.73|PR020:57.34|PR018:50.39|PR019:24.12|PR022:38.99|PR002:61.29
2016-10-08,10077,STORE005,PR013:53.46|PR025:41.69|PR017:96.73|PR014:104.67|PR008:34.25
2016-10-08,10078,STORE008,PR020:57.34|PR016:8.37|PR022:38.99|PR019:24.12|PR015:4.7|PR004:85.12|PR005:61.71
2016-10-08,10079,STORE009,PR006:91.17|PR008:34.25|PR016:8.37|PR015:4.7
2016-10-08,10080,STORE001,PR023:77.16|PR021:46.69|PR015:4.7|PR001:76.64|PR011:117.24|PR004:85.12|PR024:9.54|PR014:104.67|PR019:24.12|PR011:117.24|PR006:91.17|PR016:8.37|PR009:4.6|PR020:57.34|PR020:57.34
2016-10-08,10081,STORE003,PR014:104.67|PR025:41.69|PR012:73.54|PR008:34.25|PR006:91.17|PR016:8.37|PR004:85.12|PR009:4.6|PR013:53.46|PR022:38.99
2016-10-08,10082,STORE002,PR016:8.37
2016-10-08,10083,STORE006,PR019:24.12|PR019:24.12|PR021:46.69|PR012:73.54|PR024:9.54|PR014:104.67|PR022:38.99
2016-10-08,10084,STORE009,PR003:30.4|PR002:61.29|PR003:30.4
2016-10-08,10085,STORE001,PR013:53.46|PR012:73.54|PR003:30.4|PR010:37.6|PR012:73.54|PR006:91.17|PR003:30.4|PR023:77.16
2016-10-08,10086,STORE002,PR013:53.46|PR024:9.54|PR004:85.12|PR012:73.54|PR016:8.37|PR016:8.37|PR007:29.62
2016-10-08,10087,STORE002,PR006:91.17|PR024:9.54|PR015:4.7|PR016:8.37|PR022:38.99|PR009:4.6|PR023:77.16|PR017:96.73|PR002:61.29|PR022:38.99|PR006:91.17|PR007:29.62|PR017:96.73
2016-10-08,10088,STORE007,PR025:41.69|PR003:30.4|PR010:37.6
2016-10-08,10089,STORE003,PR007:29.62|PR006:91.17|PR018:50.39|PR023:77.16|PR002:61.29|PR002:61.29|PR022:38.99|PR015:4.7|PR021:46.69|PR001:76.64
2016-10-08,10090,STORE004,PR025:41.69|PR023:77.16|PR024:9.54|PR004:85.12|PR012:73.54|PR024:9.54|PR003:30.4|PR024:9.54|PR012:73.54|PR005:61.71|PR013:53.46|PR011:117.24|PR003:30.4|PR013:53.46|PR006:91.17|PR009:4.6|PR014:104.67|PR006:91.17
2016-10-08,10091,STORE001,PR009:4.6|PR020:57.34|PR006:91.17|PR023:77.16
2016-10-08,10092,STORE005,PR019:24.12|PR008:34.25|PR024:9.54|PR005:61.71|PR004:85.12|PR020:57.34|PR004:85.12|PR008:34.25|PR015:4.7|PR003:30.4|PR013:53.46
2016-10-08,10093,STORE003,PR009:4.6|PR010:37.6|PR018:50.39|PR003:30.4|PR024:9.54|PR022:38.99|PR024:9.54|PR002:61.29|PR003:30.4|PR014:104.67
2016-10-08,10094,STORE004,PR020:57.34|PR009:4.6|PR024:9.54|PR024:9.54|PR009:4.6|PR016:8.37|PR007:29.62|PR010:37.6|PR010:37.6|PR019:24.12
2016-10-08,10095,STORE009,PR012:73.54|PR011:117.24|PR012:73.54|PR017:96.73|PR017:96.73|PR008:34.25
2016-10-08,10096,STORE006,PR009:4.6|PR004:85.12|PR003:30.4|PR024:9.54|PR014:104.67|PR022:38.99|PR016:8.37|PR010:37.6|PR016:8.37
2016-10-08,10097,STORE001,PR005:61.71|PR002:61.29|PR010:37.6|PR008:34.25|PR005:61.71|PR014:104.67|PR006:91.17|PR004:85.12|PR020:57.34|PR001:76.64|PR017:96.73
2016-10-08,10098,STORE008,PR020:57.34|PR005:61.71|PR004:85.12|PR005:61.71|PR014:104.67|PR002:61.29|PR024:9.54|PR004:85.12|PR005:61.71|PR006:91.17|PR006:91.17
2016-10-08,10099,STORE001,PR006:91.17|PR007:29.62|PR015:4.7|PR005:61.71|PR020:57.34|PR018:50.39|PR004:85.12|PR015:4.7|PR007:29.62
2016-10-08,10100,STORE001,PR015:4.7|PR003:30.4|PR022:38.99|PR025:41.69|PR023:77.16|PR013:53.46|PR023:77.16|PR001:76.64
2016-10-08,10101,STORE008,PR006:91.17|PR003:30.4|PR005:61.71|PR022:38.99|PR022:38.99
2016-10-08,10102,STORE009,PR005:61.71|PR015:4.7|PR025:41.69|PR019:24.12|PR007:29.62|PR019:24.12|PR012:73.54|PR015:4.7|PR025:41.69|PR004:85.12
2016-10-08,10103,STORE004,PR009:4.6|PR008:34.25|PR013:53.46|PR021:46.69|PR023:77.16|PR005:61.71|PR021:46.69|PR023:77.16|PR013:53.46|PR004:85.12|PR018:50.39|PR022:38.99|PR018:50.39|PR012:73.54|PR022:38.99|PR014:104.67
2016-10-08,10104,STORE009,PR023:77.16|PR018:50.39|PR006:91.17|PR025:41.69|PR016:8.37|PR012:73.54|PR016:8.37|PR001:76.64|PR015:4.7|PR007:29.62|PR008:34.25|PR005:61.71|PR021:46.69
2016-10-08,10105,STORE005,PR008:34.25|PR022:38.99|PR001:76.64|PR009:4.6|PR019:24.12|PR018:50.39|PR009:4.6|PR016:8.37|PR025:41.69|PR023:77.16|PR024:9.54|PR001:76.64|PR023:77.16
2016-10-08,10106,STORE001,PR008:34.25|PR023:77.16|PR021:46.69|PR008:34.25
2016-10-08,10107,STORE008,PR013:53.46|PR018:50.39|PR014:104.67|PR018:50.39|PR016:8.37|PR006:91.17|PR024:9.54|PR025:41.69|PR014:104.67|PR002:61.29|PR009:4.6|PR018:50.39|PR002:61.29
2016-10-08,10108,STORE003,PR017:96.73|PR001:76.64|PR006:91.17|PR025:41.69|PR021:46.69|PR011:117.24|PR018:50.39
2016-10-08,10109,STORE002,PR025:41.69|PR025:41.69|PR007:29.62
2016-10-08,10110,STORE001,PR023:77.16|PR015:4.7|PR012:73.54|PR008:34.25
2016-10-08,10111,STORE003,PR006:91.17|PR003:30.4|PR011:117.24
2016-10-08,10112,STORE008,PR025:41.69|PR024:9.54|PR009:4.6|PR024:9.54|PR023:77.16|PR013:53.46|PR018:50.39|PR012:73.54|PR011:117.24|PR012:73.54|PR019:24.12
2016-10-08,10113,STORE003,PR024:9.54|PR024:9.54|PR019:24.12|PR013:53.46|PR013:53.46|PR016:8.37
2016-10-08,10114,STORE003,PR016:8.37|PR014:104.67|PR014:104.67|PR009:4.6|PR010:37.6|PR009:4.6|PR010:37.6
2016-10-08,10115,STORE007,PR006:91.17|PR001:76.64|PR014:104.67|PR018:50.39|PR017:96.73|PR010:37.6|PR001:76.64|PR025:41.69
2016-10-08,10116,STORE006,PR003:30.4|PR022:38.99|PR018:50.39|PR023:77.16|PR019:24.12|PR017:96.73|PR009:4.6|PR015:4.7|PR017:96.73|PR016:8.37|PR024:9.54|PR009:4.6|PR006:91.17|PR021:46.69|PR002:61.29|PR002:61.29|PR022:38.99|PR001:76.64|PR011:117.24|PR016:8.37|PR020:57.34|PR014:104.67
2016-10-08,10117,STORE006,PR020:57.34|PR008:34.25|PR010:37.6|PR005:61.71|PR001:76.64|PR005:61.71|PR019:24.12
2016-10-08,10118,STORE006,PR017:96.73|PR006:91.17|PR024:9.54|PR005:61.71|PR025:41.69|PR015:4.7|PR006:91.17|PR012:73.54|PR006:91.17|PR005:61.71|PR009:4.6|PR019:24.12|PR015:4.7|PR016:8.37|PR005:61.71|PR016:8.37|PR021:46.69
2016-10-08,10119,STORE009,PR013:53.46|PR012:73.54|PR025:41.69|PR025:41.69|PR001:76.64|PR020:57.34|PR001:76.64|PR008:34.25|PR016:8.37|PR012:73.54
2016-10-08,10120,STORE007,PR008:34.25|PR022:38.99|PR013:53.46|PR001:76.64|PR019:24.12
2016-10-08,10121,STORE008,PR002:61.29|PR006:91.17|PR002:61.29|PR020:57.34|PR003:30.4|PR025:41.69|PR025:41.69|PR025:41.69|PR021:46.69|PR018:50.39
2016-10-08,10122,STORE007,PR009:4.6|PR003:30.4|PR013:53.46|PR006:91.17|PR025:41.69|PR011:117.24|PR005:61.71|PR001:76.64|PR013:53.46|PR021:46.69|PR018:50.39|PR010:37.6|PR021:46.69|PR023:77.16|PR016:8.37|PR019:24.12
2016-10-08,10123,STORE007,PR014:104.67|PR004:85.12|PR013:53.46
2016-10-08,10124,STORE003,PR003:30.4|PR006:91.17|PR023:77.16|PR009:4.6|PR013:53.46
2016-10-08,10125,STORE001,PR025:41.69|PR010:37.6
2016-10-08,10126,STORE001,PR010:37.6|PR013:53.46|PR009:4.6|PR006:91.17|PR020:57.34|PR024:9.54|PR016:8.37|PR020:57.34|PR009:4.6|PR014:104.67|PR022:38.99|PR001:76.64|PR008:34.25|PR004:85.12|PR004:85.12|PR011:117.24
2016-10-08,10127,STORE008,PR014:104.67|PR023:77.16|PR018:50.39|PR014:104.67|PR022:38.99
2016-10-08,10128,STORE007,PR003:30.4|PR003:30.4|PR017:96.73|PR014:104.67|PR017:96.73|PR007:29.62
2016-10-08,10129,STORE005,PR012:73.54|PR017:96.73|PR010:37.6|PR003:30.4|PR013:53.46|PR001:76.64|PR021:46.69|PR001:76.64|PR008:34.25|PR004:85.12|PR013:53.46|PR002:61.29|PR007:29.62
2016-10-08,10130,STORE009,PR010:37.6|PR024:9.54|PR025:41.69|PR020:57.34|PR019:24.12|PR009:4.6|PR012:73.54|PR011:117.24|PR017:96.73|PR005:61.71|PR005:61.71|PR001:76.64
2016-10-08,10131,STORE001,PR008:34.25|PR023:77.16|PR011:117.24|PR014:104.67|PR003:30.4|PR013:53.46|PR018:50.39|PR021:46.69|PR025:41.69|PR025:41.69
2016-10-08,10132,STORE008,PR008:34.25|PR007:29.62|PR019:24.12|PR012:73.54|PR025:41.69|PR022:38.99|PR004:85.12|PR021:46.69|PR014:104.67|PR002:61.29|PR015:4.7|PR011:117.24
2016-10-08,10133,STORE008,PR004:85.12|PR024:9.54|PR014:104.67|PR017:96.73|PR015:4.7|PR004:85.12|PR020:57.34|PR024:9.54|PR002:61.29
2016-10-08,10134,STORE002,PR002:61.29|PR017:96.73|PR014:104.67|PR017:96.73|PR009:4.6
2016-10-08,10135,STORE002,PR008:34.25|PR010:37.6|PR023:77.16|PR006:91.17|PR008:34.25|PR012:73.54|PR004:85.12|PR016:8.37|PR009:4.6|PR025:41.69|PR007:29.62|PR016:8.37
2016-10-08,10136,STORE008,PR004:85.12|PR006:91.17|PR022:38.99|PR002:61.29|PR018:50.39|PR006:91.17|PR021:46.69|PR002:61.29|PR023:77.16|PR022:38.99
2016-10-08,10137,STORE008,PR019:24.12|PR005:61.71|PR023:77.16
2016-10-08,10138,STORE006,PR021:46.69|PR020:57.34|PR018:50.39
2016-10-08,10139,STORE002,PR003:30.4|PR002:61.29|PR002:61.29|PR005:61.71|PR018:50.39|PR020:57.34|PR008:34.25|PR002:61.29|PR017:96.73|PR017:96.73|PR020:57.34|PR008:34.25|PR012:73.54|PR021:46.69
2016-10-08,10140,STORE003,PR007:29.62|PR016:8.37|PR014:104.67|PR015:4.7|PR022:38.99|PR001:76.64|PR001:76.64|PR003:30.4|PR001:76.64|PR018:50.39|PR018:50.39|PR018:50.39|PR021:46.69|PR025:41.69|PR007:29.62|PR015:4.7|PR022:38.99|PR014:104.67
2016-10-08,10141,STORE008,PR013:53.46|PR014:104.67|PR001:76.64|PR002:61.29|PR016:8.37|PR007:29.62|PR014:104.67|PR012:73.54|PR003:30.4|PR005:61.71|PR002:61.29
2016-10-08,10142,STORE001,PR004:85.12|PR019:24.12|PR009:4.6|PR013:53.46|PR019:24.12|PR007:29.62|PR009:4.6
2016-10-08,10143,STORE006,PR025:41.69|PR024:9.54|PR007:29.62|PR009:4.6|PR012:73.54|PR007:29.62|PR014:104.67|PR015:4.7
2016-10-08,10144,STORE001,PR001:76.64|PR014:104.67|PR007:29.62|PR002:61.29|PR022:38.99|PR004:85.12|PR017:96.73|PR025:41.69|PR011:117.24|PR011:117.24
2016-10-08,10145,STORE006,PR019:24.12|PR016:8.37|PR013:53.46|PR016:8.37|PR011:117.24|PR007:29.62
2016-10-08,10146,STORE007,PR014:104.67|PR002:61.29|PR022:38.99|PR017:96.73|PR022:38.99|PR024:9.54|PR009:4.6|PR021:46.69|PR010:37.6|PR017:96.73|PR018:50.39|PR023:77.16|PR016:8.37|PR007:29.62|PR024:9.54|PR008:34.25
2016-10-08,10147,STORE005,PR001:76.64|PR014:104.67|PR022:38.99|PR016:8.37|PR024:9.54
2016-10-08,10148,STORE001,PR014:104.67|PR009:4.6|PR011:117.24|PR007:29.62|PR013:53.46|PR023:77.16|PR023:77.16|PR010:37.6|PR005:61.71|PR021:46.69|PR012:73.54|PR002:61.29|PR019:24.12|PR020:57.34
2016-10-08,10149,STORE004,PR008:34.25|PR018:50.39|PR009:4.6|PR025:41.69|PR012:73.54
2016-10-08,10150,STORE005,PR015:4.7|PR019:24.12|PR021:46.69|PR003:30.4|PR014:104.67|PR020:57.34|PR020:57.34|PR021:46.69|PR013:53.46|PR002:61.29|PR001:76.64|PR019:24.12|PR006:91.17
2016-10-08,10151,STORE009,PR006:91.17|PR004:85.12
2016-10-08,10152,STORE003,PR021:46.69|PR003:30.4|PR019:24.12|PR012:73.54|PR025:41.69|PR018:50.39|PR019:24.12|PR009:4.6|PR002:61.29|PR008:34.25|PR008:34.25|PR009:4.6|PR001:76.64
2016-10-08,10153,STORE005,PR009:4.6|PR004:85.12|PR013:53.46|PR012:73.54|PR025:41.69
2016-10-08,10154,STORE005,PR017:96.73|PR012:73.54|PR014:104.67|PR001:76.64|PR016:8.37|PR008:34.25|PR010:37.6|PR003:30.4|PR020:57.34|PR015:4.7|PR024:9.54|PR002:61.29
2016-10-08,10155,STORE007,PR002:61.29|PR005:61.71|PR013:53.46|PR017:96.73|PR021:46.69|PR013:53.46|PR019:24.12|PR001:76.64|PR012:73.54|PR001:76.64
2016-10-08,10156,STORE007,PR016:8.37|PR013:53.46|PR014:104.67|PR016:8.37|PR020:57.34
2016-10-08,10157,STORE007,PR023:77.16|PR006:91.17|PR001:76.64|PR002:61.29|PR017:96.73
2016-10-08,10158,STORE003,PR008:34.25|PR005:61.71|PR015:4.7|PR024:9.54|PR024:9.54|PR017:96.73|PR019:24.12|PR007:29.62
2016-10-08,10159,STORE004,PR014:104.67
2016-10-08,10160,STORE006,PR008:34.25|PR005:61.71|PR014:104.67|PR002:61.29|PR009:4.6
2016-10-08,10161,STORE002,PR007:29.62|PR013:53.46|PR016:8.37|PR013:53.46|PR005:61.71|PR009:4.6|PR001:76.64
2016-10-08,10162,STORE007,PR014:104.67|PR022:38.99|PR019:24.12|PR005:61.71|PR012:73.54|PR024:9.54|PR017:96.73|PR003:30.4|PR021:46.69|PR007:29.62
2016-10-08,10163,STORE001,PR017:96.73|PR014:104.67|PR006:91.17|PR025:41.69|PR009:4.6|PR019:24.12|PR006:91.17|PR018:50.39|PR014:104.67
2016-10-08,10164,STORE008,PR021:46.69|PR015:4.7|PR020:57.34|PR018:50.39|PR008:34.25|PR004:85.12|PR022:38.99|PR008:34.25|PR012:73.54
2016-10-08,10165,STORE003,PR014:104.67|PR016:8.37|PR015:4.7|PR017:96.73|PR002:61.29|PR020:57.34
